The online pre-enrollment system makes it easy for me to find the courses I need.,Using the online system allows me to easily manage my course selection and subjects.,"Compared to traditional enrollment methods, the online system saves me time and allows me to focus on other academic priorities.",Does the online pre-registration system offer clear and easy-to-follow instructions as you complete the process?,The instructions for pre-registering online were clear and understandable.,I did not experience any difficulty completing the online pre-registration process.,Navigating the online pre-registration system was easy.,I was satisfied with my experience using the online pre-registration system.,Online pre-registration is a valuable tool for enrolling in classes.,Using the online pre-enrollment system reduces stress during the enrollment process.,I would prefer to pre-register for all my classes online rather than using a paper form.,The system makes enrolling in classes more interesting.,My teachers/advisors clearly explained the benefits and process of online pre-registration.,"The school provided informative resources (e.g., tutorials, FAQs) on how to use the online pre-registration system.",Seeing posters or announcements about online pre-registration around school encouraged me to learn more about it.,My classmates were open to discussing their online pre-registration experiences with me.,I have reliable internet access at home to complete the online pre-registration process.,The online pre-registration system provided me with clear instructions on how to complete the process.,The layout and design of the online pre-registration system are clear and user-friendly.,I have all the resources required to use the system,I am confident in my ability to understand and follow the instructions for using the online pre-registration system.,"Even if I encounter technical difficulties during online pre-registration, I am confident I can find solutions on my own.",I feel confident using technology to pre-register for classes.,I believe I can successfully complete the online pre-registration process without needing help from others.,I worry about making mistakes during the online pre-registration process.,The possibility of encountering technical difficulties during online pre-registration makes me anxious.,It would make me feel more comfortable using the online pre-registration system if I knew for sure my information cannot be accessed by unauthorized people.,I am concerned about the possibility of my information being lost or not processed during online pre-registration.,Using online pre-registration helps ensure my registration information is accurate and complete.,I plan to use the online pre-registration system for enrolling in classes every semester.
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,5,2,3,3,3,5,4,4,3,3,4,4,3,3,4,4,4,4,5,4,3,3,4,3,4,3
3,2,3,2,3,4,2,3,1,1,1,3,2,2,3,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,5,5,4,4,4,5,5,4,5,4,4,4,3,4,3,4,4,4,3,3,3,4,4,4,4,4,4,5
1,1,1,1,1,2,1,2,1,2,2,1,4,2,4,4,1,5,1,1,1,1,1,1,1,2,3,2,2,3
2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,3,1,2,2,1,1,1,1,4,1,2,3,2,2
2,2,2,3,2,2,2,1,3,3,3,2,1,1,1,1,2,2,1,2,2,2,2,2,3,2,3,3,3,3
1,1,1,1,3,2,2,2,3,2,2,1,2,2,2,2,2,1,1,2,3,3,2,2,2,3,2,1,2,2
1,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
1,2,1,2,2,2,1,2,1,1,1,3,2,1,2,3,2,1,2,1,1,1,1,1,2,2,1,1,1,2
1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,3,3,2,3,2,1
1,1,1,1,1,1,1,2,2,1,2,3,1,1,1,3,1,1,1,2,1,1,1,1,2,2,3,4,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,3,2,2,1,1,2,2,2,1,2
2,3,1,1,2,1,1,1,2,2,3,1,1,2,2,3,1,1,1,1,3,2,1,1,2,2,1,1,3,2
2,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,3,1,1,2,2,3,2,2,2,3,1
4,5,5,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,4,5,4,5,5,5,4,4,4,4,4,5
5,4,4,5,4,5,4,5,5,4,5,4,5,4,4,5,5,5,4,4,4,4,4,5,5,4,4,5,5,4
1,2,2,2,2,1,1,2,3,2,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2
1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2
4,5,4,5,5,4,5,4,5,4,4,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,4,4,5,5
2,1,1,1,1,2,1,1,3,2,1,1,3,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1
2,1,1,2,1,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,1,2
5,4,5,4,5,5,4,4,4,4,4,5,5,5,4,4,5,4,5,5,4,5,5,5,4,4,5,5,4,5
1,2,2,2,3,1,2,1,2,2,3,1,2,1,1,1,1,1,2,2,3,2,1,1,1,2,2,2,1,4
4,5,5,4,5,4,5,5,5,5,5,5,4,4,5,5,4,5,4,4,5,5,4,4,5,4,4,5,5,4
4,5,5,5,5,5,4,5,4,4,4,5,4,5,5,4,4,4,5,5,5,5,5,5,4,5,4,5,5,4
1,1,1,2,3,1,1,3,2,2,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2
2,2,2,3,3,2,3,2,2,2,2,2,3,3,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,3
5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,5,4,5,4,5,4,4,4,4,5,5
5,5,5,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5
1,2,1,2,2,2,1,1,1,1,2,1,3,3,2,2,2,2,1,1,2,1,1,2,1,1,2,2,2,3
5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5
5,4,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,4,5
5,5,5,4,5,5,5,5,4,4,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
1,1,2,2,2,1,1,2,2,3,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,2,2,1,1
3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3
5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5
2,1,1,2,2,1,2,1,3,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,3,1
5,5,5,5,5,4,5,4,4,4,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,4,5,4,5,5,4,5,5,4,4,4
1,1,2,1,2,1,1,2,2,3,2,2,2,2,2,1,1,1,2,2,2,3,3,2,1,1,2,2,1,1
4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5
1,2,2,2,2,2,2,2,2,3,2,2,3,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,1,3
5,5,5,5,5,4,4,4,5,5,5,4,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5
2,2,1,1,2,2,3,2,2,2,2,1,1,2,1,1,1,2,1,1,1,3,2,2,2,2,2,2,3,2
5,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5
1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1
1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
